你的性别是（必填）,你的出生年月是（必填）,你的星座是（必填）,家乡（省）,你的家乡是（省市）,你现在在墨尔本(澳大利亚境内)还是在国内？（必填）,你在CSSA哪个部门？（必填）,你是本科还是研究生？（必填）,你的专业是（必填）,你目前的感情状态是 (✿◡‿◡)？（必填）,你目前想要的状态是(*/ω＼*)（必填）
女,August,狮子座,上海市,上海市,我在墨尔本,组织部,本科,Political and social studies,孤寡孤寡,脱离孤寡队伍
女,August,处女座,上海市,上海市,我在国内,人力资源部,本科,"Commerce, economics and management",孤寡孤寡,脱离孤寡队伍
女,April,白羊座,上海市,上海市,我在国内,信息部,研究生,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,September,处女座,上海市,上海市,我在国内,宣传部,本科,"Architecture, Building and planning",布谷布谷,和TA9999
女,May,金牛座,浙江省,浙江省,我在国内,组织部,本科,Computing and Information,孤寡孤寡,保持孤寡
女,September,处女座,北京市,北京市,我在国内,信息部,本科,Data science,孤寡孤寡,保持孤寡
女,April,白羊座,香港,香港,我在国内,信息部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,August,处女座,上海市,上海市,我在墨尔本,人力资源部,本科,"Architecture, Building and planning",孤寡孤寡,保持孤寡
女,August,狮子座,上海市,上海市,我在国内,组织部,本科,其他,布谷布谷,和TA9999
女,January,水瓶座,江苏省,江苏省苏州市,我在国内,外联部,本科,"Commerce, economics and management",孤寡孤寡,脱离孤寡队伍
男,June,双子座,广东省,广东省广州市,我在国内,组织部,本科,Media and Communications,孤寡孤寡,脱离孤寡队伍
女,April,白羊座,江苏省,江苏省无锡市,我在墨尔本,信息部,研究生,Engineering,布谷布谷,和TA9999
女,September,天秤座,上海市,上海市,我在国内,信息部,本科,Data science,孤寡孤寡,脱离孤寡队伍
女,March,白羊座,浙江省,浙江省杭州市,我在国内,组织部,本科,"Commerce, economics and management",孤寡孤寡,脱离孤寡队伍
女,March,双鱼座,浙江省,浙江省杭州市,我在国内,人力资源部,本科,"Commerce, economics and management",布谷布谷,和TA9999
女,October,天秤座,山东省,山东省青岛市,我在墨尔本,外联部,本科,"Medicine, dentistry, health and welfare",孤寡孤寡,脱离孤寡队伍
女,December,射手座,广东省,广东省佛山市,我在国内,信息部,研究生,其他,孤寡孤寡,保持孤寡
女,April,金牛座,四川省,四川省成都市,我在国内,主席团,本科,"Commerce, economics and management",布谷布谷,和TA9999
男,May,双子座,江苏省,江苏省徐州市,我在墨尔本,信息部,研究生,Computing and Information,孤寡孤寡,脱离孤寡队伍
男,October,天秤座,湖南省,湖南省长沙市,我在墨尔本,外联部,本科,"Medicine, dentistry, health and welfare",有点暧昧的小关系,脱离孤寡队伍
男,August,狮子座,广东省,广东省中山市,我在墨尔本,人力资源部,本科,"Accounting, Finance and Actuarial",布谷布谷,和TA9999
女,July,巨蟹座,广东省,广东省广州市,我在墨尔本,外联部,本科,"Commerce, economics and management",布谷布谷,和TA9999
男,January,摩羯座,安徽省,安徽省合肥市,我在国内,信息部,本科,Computing and Information,有点暧昧的小关系,脱离孤寡队伍
男,November,天蝎座,浙江省,浙江省宁波市,我在国内,信息部,本科,Data science,孤寡孤寡,保持孤寡
男,February,双鱼座,广西省,广西省柳州市,我在墨尔本,信息部,本科,Computing and Information,布谷布谷,和TA9999
女,July,巨蟹座,广东省,广东省惠州市,我在墨尔本,宣传部,本科,Computing and Information,孤寡孤寡,保持孤寡
女,March,白羊座,湖北省,湖北省武汉市,我在国内,外联部,本科,"Accounting, Finance and Actuarial",孤寡孤寡,脱离孤寡队伍
男,October,天秤座,江苏省,江苏省苏州市,我在墨尔本,信息部,本科,Data science,布谷布谷,脱离孤寡队伍
女,March,双鱼座,江苏省,江苏省泰州市,我在墨尔本,人力资源部,本科,Sciences and mathematics,布谷布谷,和TA9999
女,October,天秤座,北京市,北京市,我在墨尔本,主席团,研究生,Info System,布谷布谷,和TA9999
男,September,处女座,广东省,广东省汕头市,我在墨尔本,外联部,本科,"Accounting, Finance and Actuarial",布谷布谷,和TA9999
